District,Literacy
Puri,68
Cuttack,68
Dhenkanal,67
Debagarh,66
Jharsuguda,66
Sambalpur,66
Bhadrak,65
Nayagarh,65
Baleshwar,64
Bargarh,64
Khordha,63
Nabarangapur,63
Mayurbhanj,63
Koraput,62
Jajapur,62
Anugul,62
Nuapada,62
Baudh,61
Ganjam,60
Sundargarh,60
Jagatsinghapur,59
Kandhamal,59
Kendujhar,58
Kendrapara,57
Rayagada,56
Balangir,55
Malkangiri,53
Gajapati,52
Subarnapur,-1
Kalahandi,-1
