Village Name,Tab No,,,,,,,,,
Narukullapadu,283,,,,,,,,,
Narukullapadu,286,,,,,,,,,
Narukullapadu,288,,,,,,,,,
Rudra varam,269,,,,,,,,,
Rudra varam,279,,,,,,,,,
Rudra varam,282,,,,,,,,,
Rudra varam,285,,,,,,,,,
Rudra varam,289,,,,,,,,,
Rudra varam,284,,,,,,,,,
Annerao peta,264,,,,,,,,,
Annerao peta,268,,,,,,,,,
Annerao peta,272,,,,,,,,,
Annerao peta,276,,,,,,,,,
Annerao peta,366,,,,,,,,,
Annerao peta,369,,,,,,,,,
kudapa,262,,,,,,,,,
kudapa,265,,,,,,,,,
kudapa,271,,,,,,,,,
kudapa,277,,,,,,,,,
kudapa,287,,,,,,,,,
kudapa,290,,,,,,,,,
Kunaparajparva,266,,,,,,,,,
Kunaparajparva,261,,,,,,,,,
Kunaparajparva,280,,,,,,,,,
Kunaparajparva,356,,,,,,,,,
Kunaparajparva,273,,,,,,,,,
Kunaparajparva,267,,,,,,,,,
Muchanapalli,269,,,,,,,,,
Muchanapalli,279,,,,,,,,,
Muchanapalli,282,,,,,,,,,
Muchanapalli,285,,,,,,,,,
Muchanapalli,289,,,,,,,,,
Muchanapalli,284,,,,,,,,,
K-Naguluru,262,,,,,,,,,
K-Naguluru,265,,,,,,,,,
K-Naguluru,271,,,,,,,,,
K-Naguluru,277,,,,,,,,,
K-Naguluru,287,,,,,,,,,
K-Naguluru,290,,,,,,,,,
Reddygudem,262,,,,,,,,,
Reddygudem,265,,,,,,,,,
Reddygudem,271,,,,,,,,,
Reddygudem,277,,,,,,,,,
Reddygudem,287,,,,,,,,,
Reddygudem,290,,,,,,,,,
Reddygudem,269,,,,,,,,,
Reddygudem,279,,,,,,,,,
Reddygudem,282,,,,,,,,,
Reddygudem,285,,,,,,,,,
Reddygudem,289,,,,,,,,,
Reddygudem,284,,,,,,,,,
Reddygudem,266,,,,,,,,,
Reddygudem,261,,,,,,,,,
Reddygudem,280,,,,,,,,,
Reddygudem,356,,,,,,,,,
Reddygudem,273,,,,,,,,,
Reddygudem,267,,,,,,,,,
Reddygudem,264,,,,,,,,,
Reddygudem,268,,,,,,,,,
Reddygudem,272,,,,,,,,,
Reddygudem,276,,,,,,,,,
Reddygudem,366,,,,,,,,,
Reddygudem,369,,,,,,,,,
Reddygudem,270,,,,,,,,,
Reddygudem,278,,,,,,,,,
Reddygudem,281,,,,,,,,,
Reddygudem,283,,,,,,,,,
Reddygudem,286,,,,,,,,,
Reddygudem,288,,,,,,,,,
Rangapuram,270,,,,,,,,,
Rangapuram,278,,,,,,,,,
Rangapuram,281,,,,,,,,,
Rangapuram,283,,,,,,,,,
Rangapuram,286,,,,,,,,,
Rangapuram,288,,,,,,,,,
Chilukuru,88,,,,,,,,,
Chilukuru,90,,,,,,,,,
Chilukuru,77,,,,,,,,,
Chilukuru,53,,,,,,,,,
Chilukuru,80,,,,,,,,,
Chilukuru,76,,,,,,,,,
Chilukuru,79,,,,,,,,,
Chilukuru,85,,,,,,,,,
Chilukuru,78,,,,,,,,,
Damuluru,88,,,,,,,,,
Damuluru,90,,,,,,,,,
Damuluru,77,,,,,,,,,
Damuluru,53,,,,,,,,,
Damuluru,80,,,,,,,,,
Damuluru,76,,,,,,,,,
Damuluru,79,,,,,,,,,
Damuluru,85,,,,,,,,,
Damuluru,78,,,,,,,,,
Elaprolu,61,,,,,,,,,
Elaprolu,62,,,,,,,,,
Elaprolu,63,,,,,,,,,
Elaprolu,69,,,,,,,,,
Elaprolu,71,,,,,,,,,
Elaprolu,72,,,,,,,,,
Kotikalapudi,88,,,,,,,,,
Kotikalapudi,90,,,,,,,,,
Kotikalapudi,77,,,,,,,,,
Kotikalapudi,53,,,,,,,,,
Kotikalapudi,80,,,,,,,,,
Kotikalapudi,76,,,,,,,,,
Kotikalapudi,79,,,,,,,,,
Kotikalapudi,85,,,,,,,,,
Kotikalapudi,78,,,,,,,,,
Thummalapalem,57,,,,,,,,,
Thummalapalem,55,,,,,,,,,
Thummalapalem,60,,,,,,,,,
Thummalapalem,59,,,,,,,,,
Thummalapalem,116,,,,,,,,,
Kachavaram,70,,,,,,,,,
Kachavaram,82,,,,,,,,,
Kachavaram,86,,,,,,,,,
Kachavaram,84,,,,,,,,,
Kachavaram,91,,,,,,,,,
Kachavaram,81,,,,,,,,,
Kachavaram,52,,,,,,,,,
Mulapadu,68,,,,,,,,,
Mulapadu,73,,,,,,,,,
Mulapadu,65,,,,,,,,,
Mulapadu,67,,,,,,,,,
Mulapadu,66,,,,,,,,,
Kethanakonda,70,,,,,,,,,
Kethanakonda,82,,,,,,,,,
Kethanakonda,86,,,,,,,,,
Kethanakonda,84,,,,,,,,,
Kethanakonda,91,,,,,,,,,
Kethanakonda,81,,,,,,,,,
Kethanakonda,52,,,,,,,,,
Jupudi,68,,,,,,,,,
Jupudi,73,,,,,,,,,
Jupudi,65,,,,,,,,,
Jupudi,67,,,,,,,,,
Jupudi,66,,,,,,,,,
GunTupalli,57,,,,,,,,,
GunTupalli,55,,,,,,,,,
GunTupalli,60,,,,,,,,,
GunTupalli,59,,,,,,,,,
GunTupalli,116,,,,,,,,,
GunTupalli,61,,,,,,,,,
GunTupalli,62,,,,,,,,,
GunTupalli,63,,,,,,,,,
GunTupalli,69,,,,,,,,,
GunTupalli,71,,,,,,,,,
GunTupalli,72,,,,,,,,,
Kondapalli,262,,,,,,,,,
Kondapalli,269,,,,,,,,,
Kondapalli,271,,,,,,,,,
Kondapalli,277,,,,,,,,,
Kondapalli,279,,,,,,,,,
Kondapalli,287,,,,,,,,,
Kondapalli,290,,,,,,,,,
Kondapalli,351,,,,,,,,,
Kondapalli,353,,,,,,,,,
Kondapalli,350,,,,,,,,,
Kondapalli,265,,,,,,,,,
Kondapalli,368,,,,,,,,,
Kondapalli,376,,,,,,,,,
Kondapalli,171,,,,,,,,,
Kondapalli,179,,,,,,,,,
Kondapalli,182,,,,,,,,,
Kondapalli,191,,,,,,,,,
Kondapalli,288,,,,,,,,,
Kondapalli,286,,,,,,,,,
Kondapalli,283,,,,,,,,,
Kondapalli,375,,,,,,,,,
Kondapalli,358,,,,,,,,,
Kondapalli,365,,,,,,,,,
Kondapalli,363,,,,,,,,,
Kondapalli,374,,,,,,,,,
Kondapalli,275,,,,,,,,,
Kondapalli,263,,,,,,,,,
Kondapalli,361,,,,,,,,,
